date,raw_close,adjusted_close,volume
2023-05-26,6.28,,7971.0
2023-05-30,6.1,,2953.0
2023-05-31,6.1,,1622.0
2023-06-01,6.09,,5429.0
2023-06-02,6.03,,1603.0
2023-06-05,6.05,,4225.0
2023-06-06,5.85,,9774.0
2023-06-07,6.25,,1926.0
2023-06-08,6.1,,2744.0
2023-06-09,6.35,,6136.0
2023-06-12,6.5,,5663.0
2023-06-13,6.68,,1601.0
2023-06-14,6.5,,4167.0
2023-06-15,6.5,,1653.0
2023-06-16,6.67,,2409.0
2023-06-20,6.84,,12078.0
2023-06-21,7.0,,9903.0
2023-06-22,7.1,,3723.0
2023-06-23,6.99,,7596.0
2023-06-26,6.99,,1876.0
2023-06-27,6.79,,2126.0
2023-06-28,7.03,,6376.0
2023-06-29,7.2,,24521.0
2023-06-30,8.9,,86354.0
2023-07-03,8.18,,28485.0
2023-07-05,7.73,,12277.0
2023-07-06,8.2,,13357.0
2023-07-07,7.94,,8646.0
2023-07-10,7.94,,20189.0
2023-07-11,8.13,,5733.0
2023-07-12,8.69,,18108.0
2023-07-13,8.66,,9144.0
2023-07-14,8.13,,4654.0
2023-07-17,8.41,,1349.0
2023-07-18,8.57,,1630.0
2023-07-19,8.51,,2958.0
2023-07-20,8.21,,2302.0
2023-07-21,8.67,,2605.0
2023-07-24,8.53,,1414.0
2023-07-25,8.64,,1146.0
2023-07-26,8.56,,1305.0
2023-07-27,8.57,,650.0
2023-07-28,8.83,,2232.0
2023-07-31,8.88,,1929.0
2023-08-01,8.72,,3754.0
2023-08-02,8.6,,4503.0
2023-08-03,8.85,,3489.0
2023-08-04,8.84,,1998.0
2023-08-07,8.69,,680.0
2023-08-08,8.55,,1407.0
2023-08-09,8.7,,1505.0
2023-08-10,8.68,,1840.0
2023-08-11,8.46,,853.0
2023-08-14,7.9,,4116.0
2023-08-15,7.9,,1307.0
2023-08-16,7.7,,2193.0
2023-08-17,7.46,,1654.0
2023-08-18,7.55,,2808.0
2023-08-21,7.25,,1647.0
2023-08-22,7.36,,2999.0
2023-08-23,7.2,,9641.0
2023-08-24,7.0,,4290.0
2023-08-25,7.69,,14967.0
2023-08-28,7.55,,2435.0
2023-08-29,7.72,,1356.0
2023-08-30,7.72,,191.0
2023-08-31,8.03,,9206.0
2023-09-01,8.65,,1274.0
2023-09-05,9.0,,13286.0
2023-09-06,8.8,,6432.0
2023-09-07,8.98,,11705.0
2023-09-08,8.95,,10974.0
2023-09-11,9.0,,3007.0
2023-09-12,7.51,,18331.0
2023-09-13,8.6,,2789.0
2023-09-14,8.85,,18874.0
2023-09-15,8.5,,12361.0
2023-09-18,8.67,,1395.0
2023-09-19,8.76,,5540.0
2023-09-20,8.89,,5818.0
2023-09-21,8.96,,11452.0
2023-09-22,8.7,,5580.0
2023-09-25,8.5,,1553.0
2023-09-26,8.74,,2467.0
2023-09-27,8.5,,1971.0
2023-09-28,8.82,,2326.0
2023-09-29,8.8,,1057.0
2023-10-02,8.7,,2694.0
2023-10-03,8.74,,4664.0
2023-10-04,8.74,,368.0
2023-10-05,8.62,,6254.0
2023-10-06,8.57,,4667.0
2023-10-09,8.45,,630.0
2023-10-10,8.36,,2060.0
2023-10-11,8.58,,10277.0
2023-10-12,8.4,,4447.0
2023-10-13,8.18,,926.0
2023-10-16,8.4,,2924.0
2023-10-17,8.1,,3608.0
2023-10-18,8.04,,1318.0
2023-10-19,7.9,,28035.0
2023-10-20,7.93,,3863.0
2023-10-23,7.9905,,7092.0
2023-10-24,7.69,,3792.0
2023-10-25,7.95,,10065.0
2023-10-26,8.0,,7878.0
2023-10-27,8.0,,14564.0
2023-10-30,7.97,,16037.0
2023-10-31,7.87,,742.0
2023-11-01,7.8,,5890.0
2023-11-02,7.8,,521.0
2023-11-03,7.75,,1690.0
2023-11-06,7.75,,1541.0
2023-11-07,7.85,,2848.0
2023-11-08,7.86,,4286.0
2023-11-09,7.79,,1869.0
2023-11-10,7.82,,1487.0
2023-11-13,7.81,,2029.0
2023-11-14,7.82,,293.0
2023-11-15,7.77,,698.0
2023-11-16,7.83,,9587.0
2023-11-17,7.83,,562.0
2023-11-20,8.24,,17439.0
2023-11-21,8.0,,4572.0
2023-11-22,8.11,,1642.0
2023-11-24,8.13,,304.0
2023-11-27,7.5,,8045.0
2023-11-28,7.61,,991.0
2023-11-29,7.7,,4483.0
2023-11-30,7.9,,908.0
2023-12-01,7.92,,2129.0
2023-12-04,7.8,,1656.0
2023-12-05,7.6445,,912.0
2023-12-06,7.6752,,4346.0
2023-12-07,7.76,,3639.0
2023-12-08,7.98,,2773.0
2023-12-11,8.0,,3204.0
2023-12-12,7.98,,1883.0
2023-12-13,8.0,,4456.0
2023-12-14,7.98,,4652.0
2023-12-15,7.97,,2190.0
2023-12-18,7.77,,873.0
2023-12-19,7.6,,9016.0
2023-12-20,7.75,,3850.0
2023-12-21,7.75,,336.0
2023-12-22,7.74,,2096.0
2023-12-26,7.6,,911.0
2023-12-27,7.88,,5126.0
2023-12-28,8.0,,3275.0
2023-12-29,8.031,,6183.0
2024-01-02,8.0,,2180.0
2024-01-03,7.95,,138.0
2024-01-04,7.9,,831.0
2024-01-08,7.9,,8770.0
2024-01-09,8.0,,4141.0
2024-01-10,7.74,,686.0
2024-01-11,7.85,,2573.0
2024-01-12,7.9,,355.0
2024-01-16,7.78,,10445.0
2024-01-17,7.63,,2360.0
2024-01-18,7.6,,1657.0
2024-01-19,7.7,,1389.0
2024-01-22,7.8,,4221.0
2024-01-23,7.7,,1184.0
2024-01-24,7.65,,1351.0
2024-01-25,7.685,,3969.0
2024-01-26,7.59,,2314.0
2024-01-29,7.58,,889.0
2024-01-30,7.31,,5689.0
2024-01-31,7.325,,5545.0
2024-02-01,7.24,,4909.0
2024-02-02,6.93,,2263.0
2024-02-05,6.7927,,17408.0
2024-02-06,6.9,,20325.0
2024-02-07,6.71,,24689.0
2024-02-08,6.89,,9562.0
2024-02-09,7.0,,9094.0
2024-02-12,7.0,,1538.0
2024-02-13,6.93,,139.0
2024-02-14,7.25,,5985.0
2024-02-15,6.95,,2681.0
2024-02-16,7.15,,1310.0
2024-02-20,6.95,,695.0
2024-02-21,7.3,,7741.0
2024-02-22,7.19,,2664.0
2024-02-23,7.1,,1484.0
2024-02-26,7.05,,1538.0
2024-02-27,6.96,,4943.0
2024-02-28,6.83,,12716.0
2024-02-29,6.44,,5523.0
2024-03-01,6.62,,4122.0
2024-03-04,6.5,,3082.0
2024-03-05,6.64,,809.0
2024-03-06,6.6086,,1510.0
2024-03-07,6.5,,1524.0
2024-03-08,6.17,,959.0
2024-03-11,6.5,,2214.0
2024-03-12,6.71,,2432.0
2024-03-13,6.56,,589.0
2024-03-15,6.3,,2954.0
2024-03-18,6.3,,880.0
2024-03-19,6.0,,7010.0
2024-03-20,6.62,,8385.0
2024-03-21,6.82,,1046.0
2024-03-25,6.6,,2378.0
2024-03-26,7.2,,5714.0
2024-03-27,7.89,,3458.0
2024-03-28,7.63,,8816.0
2024-04-01,7.59,,401.0
2024-04-02,7.06,,648.0
2024-04-03,6.97,,2116.0
2024-04-04,7.0,,2573.0
2024-04-05,7.01,,1051.0
2024-04-08,6.54,,6020.0
2024-04-09,6.8,,1282.0
2024-04-10,6.68,,1785.0
2024-04-11,6.51,,2295.0
2024-04-15,6.75,,1329.0
2024-04-16,6.79,,852.0
2024-04-17,6.54,,709.0
2024-04-18,6.6,,1277.0
2024-04-19,6.47,,1384.0
2024-04-22,6.62,,5767.0
2024-04-23,7.24,,9345.0
2024-04-24,7.0,,940.0
2024-04-25,6.42,,2335.0
2024-04-26,6.61,,830.0
2024-04-29,6.69,,3193.0
2024-04-30,7.12,,15490.0
2024-05-01,7.0,,5660.0
2024-05-02,7.01,,3196.0
2024-05-03,7.29,,3903.0
2024-05-06,7.31,,5531.0
2024-05-07,7.31,,3373.0
2024-05-08,7.12,,3315.0
2024-05-09,7.2,,4394.0
2024-05-10,7.105,,1859.0
2024-05-13,6.94,,3588.0
2024-05-14,6.6,,2132.0
2024-05-15,7.03,,4627.0
2024-05-16,7.24,,2616.0
2024-05-17,7.11,,2835.0
2024-05-20,7.01,,1570.0
2024-05-21,6.8,,3644.0
