date,raw_close,adjusted_close,volume
2015-01-02,6.35,,1128661.0
2015-01-05,6.85,,1493880.0
2015-01-06,5.49,,1577798.0
2015-01-07,6.5,,1886099.0
2015-01-08,6.94,,1997925.0
2015-01-09,7.0,,1221944.0
2015-01-12,5.82,,1131052.0
2015-01-13,5.33,,1740385.0
2015-01-14,3.22,,2267724.0
2015-01-15,3.08,,1295174.0
2015-01-16,3.25,,2188369.0
2015-01-20,3.79,,2081440.0
2015-01-21,4.66,,712208.0
2015-01-22,6.75,,1886948.0
2015-01-23,6.72,,1000150.0
2015-01-26,6.99,,719948.0
2015-01-27,5.58,,756793.0
2015-01-28,3.38,,1333773.0
2015-01-29,4.43,,1295657.0
2015-01-30,3.51,,1472740.0
2015-02-02,5.29,,1301090.0
2015-02-03,5.48,,1674352.0
2015-02-04,7.46,,2246844.0
2015-02-05,9.05,,2313953.0
2015-02-06,12.42,,3205722.0
2015-02-09,12.03,,1412016.0
2015-02-10,12.83,,1417769.0
2015-02-11,13.01,,1024047.0
2015-02-12,13.52,,1435234.0
2015-02-13,12.13,,1668012.0
2015-02-17,12.41,,1215277.0
2015-02-18,11.97,,875354.0
2015-02-19,12.39,,1167530.0
2015-02-20,12.45,,1911325.0
2015-02-23,13.2,,898634.0
2015-02-24,14.38,,1329397.0
2015-02-25,14.74,,747396.0
2015-02-26,14.23,,858825.0
2015-02-27,14.14,,920220.0
2015-03-02,15.33,,1012609.0
2015-03-03,15.3,,1659333.0
2015-03-04,14.7,,1427263.0
2015-03-05,15.03,,882103.0
2015-03-06,14.13,,1538314.0
2015-03-09,15.28,,1012032.0
2015-03-10,14.02,,1496989.0
2015-03-11,15.01,,948377.0
2015-03-12,16.04,,1264524.0
2015-03-13,15.53,,1386256.0
2015-03-16,18.77,,2775843.0
2015-03-17,18.46,,1792429.0
2015-03-18,17.7,,1771146.0
2015-03-19,18.4,,1742003.0
2015-03-20,18.14,,6825116.0
2015-03-23,17.46,,1891612.0
2015-03-24,16.05,,2109225.0
2015-03-25,12.97,,2486805.0
2015-03-26,13.5,,2718262.0
2015-03-27,13.37,,1225772.0
2015-03-30,13.97,,1299112.0
2015-03-31,13.42,,1342266.0
2015-04-01,13.21,,1090241.0
2015-04-02,11.62,,2042025.0
2015-04-06,10.8,,3734135.0
2015-04-07,9.28,,3279179.0
2015-04-08,9.06,,1846451.0
2015-04-09,9.56,,1786726.0
2015-04-10,10.98,,1710191.0
2015-04-13,10.73,,943294.0
2015-04-14,9.91,,1078324.0
2015-04-15,9.86,,1256893.0
2015-04-16,10.23,,958907.0
2015-04-17,8.62,,2300542.0
2015-04-20,9.5,,1084199.0
2015-04-21,8.95,,972211.0
