date,raw_close,adjusted_close,volume
2015-01-05,8.0,,17053.0
2015-01-06,7.66,,1416.0
2015-01-08,7.29,,10900.0
2015-01-09,7.9,,3800.0
2015-01-12,7.16,,3900.0
2015-01-14,7.55,,1610.0
2015-01-15,7.9,,2275.0
2015-01-22,8.3,,825.0
2015-01-23,7.85,,500.0
2015-01-26,8.6,,970.0
2015-01-27,7.87,,796.0
2015-01-28,7.46,,124.0
2015-02-02,7.69,,202.0
2015-02-03,7.95,,5964.0
2015-02-04,7.75,,2015.0
2015-02-05,7.7,,1063.0
2015-02-06,7.81,,949.0
2015-02-09,7.65,,3730.0
2015-02-10,7.61,,5049.0
2015-02-11,7.51,,3812.0
2015-02-12,7.54,,3780.0
2015-02-13,7.5,,200.0
2015-02-17,7.52,,142.0
2015-02-19,7.52,,800.0
2015-02-20,7.53,,1141.0
2015-02-23,7.54,,9626.0
2015-02-24,7.61,,11402.0
2015-02-25,7.95,,11570.0
2015-02-26,7.7,,2348.0
2015-02-27,7.78,,5226.0
2015-03-02,7.7,,7812.0
2015-03-03,7.79,,6620.0
2015-03-04,7.7,,5013.0
2015-03-05,7.67,,3804.0
2015-03-06,7.71,,1900.0
2015-03-09,7.63,,6500.0
2015-03-10,7.59,,1301.0
2015-03-11,7.72,,10509.0
2015-03-13,7.98,,4642.0
2015-03-16,7.75,,502.0
2015-03-17,7.8,,5547.0
2015-03-18,7.78,,1101.0
2015-03-20,7.45,,252.0
2015-03-24,7.8,,859.0
2015-03-25,7.84,,260.0
2015-03-31,7.96,,3196.0
2015-04-01,7.75,,1256.0
2015-04-02,8.01,,676.0
2015-04-15,8.21,,1500.0
2015-04-16,7.95,,12639.0
2015-04-20,8.6,,2027.0
2015-04-21,8.25,,103.0
2015-04-24,8.25,,1700.0
2015-04-27,8.29,,1913.0
2015-04-28,8.43,,2402.0
2015-04-29,8.24,,2981.0
2015-05-01,8.03,,615.0
2015-05-05,8.14,,226.0
2015-05-07,7.33,,275.0
2015-05-14,7.84,,4157.0
2015-05-15,7.93,,5443.0
2015-05-19,7.48,,560.0
2015-05-20,7.58,,7397.0
2015-05-21,7.64,,1623.0
2015-05-22,7.77,,13713.0
2015-05-26,7.65,,1700.0
2015-05-27,7.73,,15032.0
2015-05-28,7.58,,3904.0
2015-05-29,7.83,,5849.0
2015-06-01,7.81,,3295.0
2015-06-02,7.68,,7525.0
2015-06-03,7.8,,1601.0
2015-06-04,7.81,,13493.0
2015-06-05,7.88,,4380.0
2015-06-08,9.01,,5953.0
2015-06-09,9.56,,11094.0
2015-06-10,9.8,,3464.0
2015-06-11,10.11,,8643.0
2015-06-12,10.76,,1090.0
2015-06-15,10.39,,4267.0
2015-06-16,10.02,,2055.0
2015-06-17,9.88,,4569.0
2015-06-18,10.14,,4160.0
2015-06-19,9.85,,9170.0
2015-06-22,9.69,,3764.0
2015-06-24,10.35,,1002.0
2015-06-26,10.07,,666.0
2015-06-30,9.64,,225.0
2015-07-14,9.51,,144.0
2015-07-15,10.33,,271.0
2015-07-17,10.29,,155.0
2015-07-20,9.64,,307.0
2015-07-24,9.23,,2749.0
2015-07-27,8.82,,5267.0
2015-07-31,8.72,,6028.0
2015-08-03,9.1,,17743.0
2015-08-05,8.92,,5970.0
2015-08-06,8.82,,3945.0
2015-08-07,8.81,,211.0
2015-08-10,8.01,,130.0
2015-08-12,8.68,,1382.0
2015-08-14,8.61,,1604.0
2015-08-18,8.78,,11945.0
2015-08-19,8.69,,2410.0
2015-08-25,8.69,,213.0
2015-09-01,8.11,,1027.0
2015-09-02,8.15,,4840.0
2015-09-08,8.47,,903.0
2015-09-09,8.82,,1176.0
2015-09-10,8.82,,1745.0
