date,raw_close,adjusted_close,volume
2022-10-31,7.155,,1303.0
2022-11-01,7.22,,2313.0
2022-11-02,7.6475,,20130.0
2022-11-03,7.1575,,10092.0
2022-11-04,7.1875,,45499.0
2022-11-07,7.11,,11966.0
2022-11-08,7.165,,694.0
2022-11-09,7.62,,8546.0
2022-11-10,7.76,,6175.0
2022-11-11,7.795,,8042.0
2022-11-14,7.71,,7285.0
2022-11-15,7.785,,1200.0
2022-11-16,7.745,,2337.0
2022-11-17,7.6725,,705.0
2022-11-18,7.8225,,2907.0
2022-11-21,7.5975,,1195.0
2022-11-22,7.735,,2214.0
2022-11-23,7.6675,,2729.0
2022-11-25,7.6975,,2435.0
2022-11-28,7.79,,1120.0
2022-11-29,7.72,,1205.0
2022-11-30,7.69,,4006.0
2022-12-01,7.5975,,3064.0
2022-12-02,7.445,,3380.0
2022-12-05,7.8225,,4592.0
2022-12-06,7.665,,1765.0
2022-12-07,7.64,,1983.0
2022-12-08,7.6475,,566.0
2022-12-09,7.6225,,891.0
2022-12-12,7.6225,,1955.0
2022-12-13,7.6225,,9733.0
2022-12-14,7.5075,,2558.0
2022-12-15,7.5225,,2351.0
2022-12-16,7.36,,4138.0
2022-12-19,7.26,,8599.0
2022-12-20,7.375,,4544.0
2022-12-21,7.4025,,1135.0
2022-12-22,7.325,,6778.0
2022-12-23,7.2625,,13682.0
2022-12-27,7.3725,,14669.0
2022-12-28,7.585,,3674.0
2022-12-29,7.6525,,2540.0
2022-12-30,7.33,,7328.0
2023-01-03,7.685,,3818.0
2023-01-04,7.6475,,5007.0
2023-01-05,7.575,,9428.0
2023-01-06,7.505,,8774.0
2023-01-09,7.72,,9205.0
2023-01-10,7.82,,4251.0
2023-01-11,8.1525,,13114.0
2023-01-12,8.735,,19315.0
2023-01-13,8.5675,,9598.0
2023-01-17,8.4675,,9750.0
2023-01-18,8.4725,,16733.0
2023-01-19,8.435,,2167.0
2023-01-20,8.4525,,5262.0
2023-01-23,8.1475,,9329.0
2023-01-24,8.4475,,16530.0
2023-01-25,8.3875,,7205.0
2023-01-26,8.3525,,1337.0
2023-01-27,8.6125,,9449.0
2023-01-30,8.585,,3793.0
2023-01-31,8.9175,,20460.0
2023-02-01,8.9625,,34066.0
2023-02-02,9.015,,3405.0
2023-02-03,8.9575,,9373.0
2023-02-06,8.995,,9855.0
2023-02-07,8.9525,,6693.0
2023-02-08,8.8775,,1513.0
2023-02-09,8.9875,,38570.0
2023-02-10,8.9725,,20148.0
2023-02-13,8.905,,10454.0
2023-02-14,8.825,,8306.0
2023-02-15,9.155,,4264.0
2023-02-16,9.11,,31380.0
2023-02-17,9.445,,11012.0
2023-02-21,9.215,,26525.0
2023-02-22,9.325,,10482.0
2023-02-23,9.545,,14908.0
2023-02-24,9.3375,,12335.0
2023-02-27,9.18,,7567.0
2023-02-28,9.385,,16287.0
2023-03-01,9.305,,6905.0
2023-03-02,11.3175,,43836.0
2023-03-03,11.62,,42554.0
2023-03-06,11.7,,28986.0
2023-03-07,11.82,,31521.0
2023-03-08,12.12,,30150.0
2023-03-09,12.09,,22540.0
2023-03-10,11.74,,23335.0
2023-03-13,11.4775,,14418.0
2023-03-14,11.675,,34795.0
2023-03-15,11.72,,17245.0
2023-03-16,11.6125,,16084.0
2023-03-17,11.47,,17687.0
2023-03-20,11.765,,15142.0
2023-03-21,11.9125,,9972.0
2023-03-22,11.8025,,31332.0
2023-03-23,11.79,,38159.0
2023-03-24,12.3575,,17885.0
2023-03-27,12.68,,56339.0
2023-03-28,12.555,,21396.0
2023-03-29,12.725,,29245.0
2023-03-30,12.795,,16430.0
2023-03-31,12.8125,,22209.0
2023-04-03,12.575,,61682.0
