date,raw_close,adjusted_close,volume
2015-01-02,5.5,,3600.0
2015-01-05,5.3,,1226.0
2015-01-06,5.45,,1870.0
2015-01-07,5.35,,5508.0
2015-01-08,5.58,,9944.0
2015-01-09,5.63,,11750.0
2015-01-12,5.55,,1405.0
2015-01-13,5.57,,335.0
2015-01-14,5.52,,8818.0
2015-01-15,5.55,,240.0
2015-01-16,5.35,,4710.0
2015-01-20,5.34,,9666.0
2015-01-21,5.55,,3501.0
2015-01-22,5.35,,15397.0
2015-01-23,5.46,,7900.0
2015-01-26,5.5,,3472.0
2015-01-27,5.52,,9538.0
2015-01-28,5.47,,3197.0
2015-01-29,5.5,,1015.0
2015-01-30,5.49,,2606.0
2015-02-02,5.52,,6994.0
2015-02-03,5.68,,11633.0
2015-02-04,5.72,,6818.0
2015-02-05,5.74,,2512.0
2015-02-06,5.93,,14600.0
2015-02-09,5.91,,5690.0
2015-02-10,5.9,,3863.0
2015-02-11,5.9,,1798.0
2015-02-12,5.99,,8682.0
2015-02-13,6.02,,2025.0
2015-02-17,6.09,,1201.0
2015-02-18,6.01,,956.0
2015-02-19,5.95,,578.0
2015-02-20,5.93,,3893.0
2015-02-23,5.99,,4670.0
2015-02-24,5.87,,7288.0
2015-02-25,5.94,,1122.0
2015-02-26,5.96,,7186.0
2015-02-27,5.95,,832.0
2015-03-02,5.82,,4099.0
2015-03-03,5.7,,515.0
2015-03-04,5.71,,1417.0
2015-03-05,5.96,,2767.0
2015-03-06,5.99,,11180.0
2015-03-09,6.05,,2010.0
2015-03-10,6.05,,295.0
2015-03-11,6.03,,3531.0
2015-03-12,6.11,,9816.0
2015-03-13,5.95,,522.0
2015-03-16,5.97,,4445.0
2015-03-17,6.0,,37658.0
2015-03-18,6.08,,5692.0
2015-03-19,6.05,,529.0
2015-03-20,6.04,,857.0
2015-03-23,6.03,,509.0
2015-03-24,6.04,,4238.0
2015-03-25,5.64,,131311.0
2015-03-26,5.56,,80576.0
2015-03-27,5.53,,1443.0
2015-03-30,5.9,,7141.0
2015-03-31,5.76,,7042.0
2015-04-01,5.72,,7883.0
2015-04-02,5.66,,400.0
2015-04-06,5.67,,1197.0
2015-04-07,5.6,,14557.0
2015-04-08,5.58,,3397.0
2015-04-09,5.61,,801.0
2015-04-10,5.67,,719.0
2015-04-14,5.66,,4195.0
2015-04-15,5.7,,2651.0
2015-04-16,5.57,,445.0
2015-04-17,5.6,,14139.0
2015-04-20,5.51,,18714.0
2015-04-21,5.59,,3318.0
2015-04-23,5.4,,45624.0
2015-04-27,5.48,,3672.0
2015-04-28,5.48,,1600.0
2015-04-30,5.4,,1867.0
2015-05-01,5.6,,10780.0
