date,raw_close,adjusted_close,volume
2015-01-02,5.79,,4829.0
2015-01-05,5.8,,2800.0
2015-01-06,5.7,,478.0
2015-01-07,5.75,,1478.0
2015-01-08,5.83,,932.0
2015-01-09,5.73,,1041.0
2015-01-12,5.6,,726.0
2015-01-13,5.49,,1255.0
2015-01-14,5.4,,785.0
2015-01-15,5.32,,240.0
2015-01-16,5.2,,4031.0
2015-01-20,5.27,,492.0
2015-01-22,5.4,,589.0
2015-01-23,5.41,,19614.0
2015-01-26,5.45,,1500.0
2015-01-27,5.45,,510.0
2015-01-28,5.48,,101.0
2015-01-29,5.6,,1037.0
2015-01-30,5.69,,100.0
2015-02-02,5.48,,164.0
2015-02-03,5.66,,202.0
2015-02-04,5.45,,2355.0
2015-02-05,5.5,,5910.0
2015-02-06,5.55,,493.0
2015-02-09,5.46,,552.0
2015-02-10,5.45,,338.0
2015-02-11,5.51,,360.0
2015-02-12,5.65,,1100.0
2015-02-17,5.48,,3290.0
2015-02-18,5.45,,304.0
2015-02-20,5.45,,500.0
2015-02-24,5.66,,2422.0
2015-02-25,5.45,,15967.0
2015-02-26,5.14,,1666.0
2015-02-27,5.2,,206.0
2015-03-02,5.14,,206.0
2015-03-03,5.05,,1367.0
2015-03-04,5.05,,276.0
2015-03-05,5.11,,812.0
2015-03-06,5.12,,1159.0
2015-03-09,5.06,,1756.0
2015-03-10,5.05,,351.0
2015-03-11,5.05,,570.0
2015-03-13,5.05,,228.0
2015-03-16,5.13,,195.0
2015-03-17,5.08,,1132.0
2015-03-18,5.14,,5265.0
2015-03-19,5.18,,462.0
2015-03-20,5.15,,732.0
2015-03-24,5.2,,1018.0
2015-03-25,5.33,,170.0
2015-03-30,5.17,,2461.0
2015-03-31,5.4,,14103.0
2015-04-01,5.5,,615.0
2015-04-02,5.27,,1070.0
2015-04-06,5.3,,242.0
2015-04-07,5.16,,1495.0
2015-04-08,5.25,,1427.0
2015-04-09,5.41,,488.0
2015-04-10,5.45,,1303.0
2015-04-13,5.9,,1737.0
2015-04-14,5.81,,868.0
2015-04-15,5.77,,1072.0
2015-04-16,5.77,,1400.0
2015-04-17,5.75,,1337.0
2015-04-20,5.76,,311.0
2015-04-21,5.75,,101.0
2015-04-22,5.81,,4494.0
2015-04-23,5.56,,252.0
2015-04-24,4.81,,18176.0
2015-04-27,4.89,,4316.0
2015-04-28,4.85,,343.0
2015-04-29,4.86,,2246.0
2015-04-30,4.88,,6340.0
2015-05-01,4.92,,302.0
2015-05-04,4.88,,352.0
2015-05-05,5.01,,841.0
2015-05-07,4.98,,625.0
2015-05-08,4.88,,933.0
2015-05-11,4.92,,955.0
2015-05-12,4.92,,242.0
2015-05-13,5.1,,500.0
2015-05-14,4.88,,1100.0
2015-05-15,4.99,,1044.0
2015-05-18,5.07,,19315.0
2015-05-19,5.16,,2846.0
2015-05-20,5.01,,8984.0
2015-05-22,5.07,,353.0
2015-05-26,5.0,,5322.0
2015-05-27,5.08,,707.0
2015-05-28,5.14,,200.0
2015-05-29,5.05,,101.0
2015-06-01,5.14,,10987.0
2015-06-02,5.0,,10754.0
2015-06-03,5.07,,469.0
2015-06-04,5.05,,5838.0
2015-06-05,5.05,,8490.0
2015-06-08,4.99,,8460.0
2015-06-09,4.91,,1556.0
2015-06-10,5.0,,2491.0
2015-06-11,5.03,,1087.0
2015-06-12,5.0,,2544.0
2015-06-15,5.03,,1800.0
2015-06-16,5.01,,5640.0
2015-06-17,5.0,,1573.0
2015-06-18,5.0,,3028.0
2015-06-19,4.85,,31376.0
2015-06-22,4.84,,630.0
2015-06-23,4.87,,888.0
2015-06-24,4.84,,430.0
2015-06-25,4.75,,4657.0
2015-06-26,4.8,,1373.0
2015-06-29,4.8,,830.0
