date,raw_close,adjusted_close,volume
2015-01-02,25.78,,1400.0
2015-01-05,24.29,,11500.0
2015-01-06,24.55,,15900.0
2015-01-07,25.39,,11500.0
2015-01-08,25.52,,14800.0
2015-01-09,26.29,,200.0
2015-01-12,25.99,,7200.0
2015-01-13,28.49,,7400.0
2015-01-14,28.18,,2200.0
2015-01-15,26.84,,6600.0
2015-01-16,26.7,,13600.0
2015-01-20,27.14,,8300.0
2015-01-21,26.69,,7400.0
2015-01-22,26.94,,12000.0
2015-01-23,29.15,,21300.0
2015-01-26,30.91,,18200.0
2015-01-27,30.69,,4800.0
2015-01-28,31.23,,21500.0
2015-01-29,31.51,,5500.0
2015-01-30,33.94,,26400.0
2015-02-02,35.24,,22900.0
2015-02-03,36.5,,8800.0
2015-02-04,35.36,,17100.0
2015-02-05,32.69,,10000.0
2015-02-06,29.19,,19100.0
2015-02-09,27.57,,7500.0
2015-02-10,24.29,,13000.0
2015-02-11,28.7,,32700.0
2015-02-12,30.14,,14900.0
2015-02-13,29.72,,3500.0
2015-02-17,27.64,,13200.0
2015-02-18,29.1,,19300.0
2015-02-19,28.69,,23700.0
2015-02-20,28.69,,44800.0
2015-02-23,32.23,,24700.0
2015-02-24,34.38,,19400.0
2015-02-25,33.93,,14700.0
2015-02-26,32.54,,6700.0
2015-02-27,32.69,,19500.0
2015-03-02,29.74,,7800.0
2015-03-03,30.45,,12700.0
2015-03-04,29.44,,1100.0
2015-03-05,29.43,,1600.0
2015-03-06,28.08,,700.0
2015-03-09,28.34,,10000.0
2015-03-10,28.86,,2100.0
2015-03-11,28.86,,0.0
2015-03-12,29.59,,3400.0
2015-03-13,28.29,,1500.0
2015-03-16,27.69,,9900.0
2015-03-17,28.52,,500.0
2015-03-18,28.52,,300.0
2015-03-19,28.06,,29600.0
2015-03-20,27.39,,1300.0
2015-03-23,26.96,,8600.0
2015-03-24,27.69,,27300.0
2015-03-25,27.89,,10300.0
2015-03-26,27.89,,0.0
2015-03-27,27.28,,2800.0
2015-03-30,27.7,,3700.0
2015-03-31,27.7,,0.0
2015-04-01,27.89,,7200.0
2015-04-02,27.16,,9201.0
2015-04-06,27.57,,6700.0
2015-04-07,28.54,,3724.0
2015-04-08,27.44,,1808.0
2015-04-10,27.19,,2559.0
2015-04-14,26.38,,539.0
2015-04-15,26.19,,4927.0
