ticker,episode_id,company_name,exchange,first_qualifying_start_date,first_qualifying_end_date,best_90d_start_date,best_90d_end_date,best_90d_return,episode_start_date,episode_end_date,num_qualifying_windows,data_quality,preliminary,notes
CG,CG_001,凯雷,NASDAQ,2016-01-11,2016-04-11,2016-01-15,2016-04-14,406.0,2016-01-11,2016-05-16,7,POC,True,
CGBD,CGBD_002,Carlyle Secured Lending,NASDAQ,2018-12-20,2019-03-20,2018-12-20,2019-03-20,11.695652173913043,2018-12-20,2019-03-20,1,POC,True,
CGBD,CGBD_003,Carlyle Secured Lending,NASDAQ,2020-11-05,2021-02-03,2020-11-05,2021-02-03,20.5,2020-11-05,2021-02-03,1,POC,True,
CIB,CIB_004,哥伦比亚银行,NYSE,2015-12-07,2016-03-07,2015-12-08,2016-03-07,4019.0,2015-12-07,2016-03-10,3,POC,True,
CIB,CIB_005,哥伦比亚银行,NYSE,2020-03-19,2020-06-17,2020-03-19,2020-06-17,13.028888888888888,2020-03-19,2020-06-18,2,POC,True,
CIG,CIG_006,Energy Company of Minas Gerais,NYSE,2016-07-29,2016-10-27,2016-07-29,2016-10-27,47.64285714285714,2016-07-29,2017-04-20,5,POC,True,
CIG,CIG_007,Energy Company of Minas Gerais,NYSE,2020-11-09,2021-02-08,2020-11-09,2021-02-08,13.506666666666666,2020-11-09,2021-02-08,1,POC,True,
CIG,CIG_008,Energy Company of Minas Gerais,NYSE,2021-02-25,2021-05-26,2021-04-12,2021-07-12,147.83333333333334,2021-02-25,2021-07-12,9,POC,True,
CIG.C,CIG.C_009,Energy Company of Minas Gerais-Common,NYSE,2016-11-10,2017-02-08,2016-12-01,2017-03-01,29.779141104294485,2016-11-10,2017-03-08,3,POC,True,
CIG.C,CIG.C_010,Energy Company of Minas Gerais-Common,NYSE,2018-10-09,2019-01-07,2018-10-09,2019-01-07,92.9264705882353,2018-10-09,2019-01-16,5,POC,True,
CIG.C,CIG.C_011,Energy Company of Minas Gerais-Common,NYSE,2020-09-14,2020-12-14,2020-10-22,2021-01-20,181.8421052631579,2020-09-14,2021-01-20,2,POC,True,
CIX,CIX_012,CompX国际,AMEX,2016-10-03,2017-01-03,2016-11-11,2017-02-09,195.0,2016-10-03,2017-02-16,6,POC,True,
