ticker,error
CBLL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CBNA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CBRS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCAQ,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCAQU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCB,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCCC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCHH,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCII,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCIIU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCIX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCIXU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCLD,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCRN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCSI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCXI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CCXIU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CD,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CDEX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CDLA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CDLR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CDLR.WI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CDNA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CDNL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CDRO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CDXS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CELC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CEPF,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CEPO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CEPS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CEPT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CEPV,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CERS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CERT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CEVA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
