ticker,episode_id,company_name,exchange,first_qualifying_start_date,first_qualifying_end_date,best_90d_start_date,best_90d_end_date,best_90d_return,episode_start_date,episode_end_date,num_qualifying_windows,data_quality,preliminary,notes
AXR,AXR_001,安美瑞普,NYSE,2016-04-11,2016-07-11,2016-04-19,2016-07-18,147.0,2016-04-11,2016-09-21,9,POC,True,
AXR,AXR_002,安美瑞普,NYSE,2020-06-16,2020-09-14,2020-08-25,2020-11-23,150.0,2020-06-16,2020-12-09,23,POC,True,
BAK,BAK_003,Braskem,NYSE,2015-10-13,2016-01-11,2015-10-13,2016-01-11,17.84936874183718,2015-10-13,2016-01-11,1,POC,True,
BAK,BAK_004,Braskem,NYSE,2020-03-23,2020-06-22,2020-03-23,2020-06-22,11.565614617940199,2020-03-23,2020-06-22,1,POC,True,
BALY,BALY_005,Ballys,NYSE,2022-06-16,2022-09-14,2022-06-16,2022-09-14,23.0,2022-06-16,2022-09-19,3,POC,True,
BANF,BANF_006,BancFirst银行,NASDAQ,2016-01-22,2016-04-21,2016-01-22,2016-04-21,64.66666666666667,2016-01-22,2016-04-27,2,POC,True,
BAP,BAP_007,Credicorp,NYSE,2016-01-15,2016-04-14,2016-01-21,2016-04-20,11.888772298006296,2016-01-15,2016-04-20,3,POC,True,
BBAR,BBAR_008,Banco BBVA,NYSE,2020-03-18,2020-06-16,2020-05-01,2020-07-30,40.99783080260303,2020-03-18,2020-07-30,7,POC,True,
BBAR,BBAR_009,Banco BBVA,NYSE,2020-09-23,2020-12-22,2020-09-23,2020-12-22,122.95081967213113,2020-09-23,2021-01-28,6,POC,True,
BBAR,BBAR_010,Banco BBVA,NYSE,2021-03-08,2021-06-07,2021-03-08,2021-06-07,10.286554004408524,2021-03-08,2021-06-07,1,POC,True,
BBAR,BBAR_011,Banco BBVA,NYSE,2022-06-13,2022-09-12,2022-07-26,2022-10-24,7952.0,2022-06-13,2022-10-24,5,POC,True,
BBBY,BBBY_012,Bed Bath & Beyond,NYSE,2023-03-20,2025-08-29,2023-05-02,2025-08-29,118.92532942898974,2023-03-20,2025-08-29,30,POC,True,
BBD,BBD_013,布拉德斯科银行-Preferred,NYSE,2016-01-21,2016-04-20,2016-01-21,2016-04-20,13.153047091412741,2016-01-21,2016-04-20,1,POC,True,
BBVA,BBVA_014,西班牙毕尔巴鄂银行,NYSE,2020-03-16,2020-06-15,2020-03-16,2020-06-15,22.082018927444796,2020-03-16,2020-08-11,7,POC,True,
BBVA,BBVA_015,西班牙毕尔巴鄂银行,NYSE,2020-08-21,2020-11-19,2020-10-16,2021-01-14,1382.3529411764707,2020-08-21,2021-02-04,34,POC,True,
