ticker,episode_id,company_name,exchange,first_qualifying_start_date,first_qualifying_end_date,best_90d_start_date,best_90d_end_date,best_90d_return,episode_start_date,episode_end_date,num_qualifying_windows,data_quality,preliminary,notes
AHG,AHG_001,Akso Health,NASDAQ,2021-07-22,2021-10-20,2021-07-22,2021-10-20,11.924657534246576,2021-07-22,2021-10-20,1,POC,True,
AHI,AHI_002,Advanced Health Intelligence,NASDAQ,2023-04-03,2023-07-03,2023-04-03,2023-07-03,14.828936406553737,2023-04-03,2023-09-06,31,POC,True,
AHT,AHT_003,阿什福德信托,NYSE,2024-08-14,2024-11-12,2024-10-24,2025-01-22,14.22371771553292,2024-08-14,2025-01-23,17,POC,True,
AIB,AIB_004,BlockchAIn Digital Infrastructure,AMEX,2024-08-19,2024-11-18,2024-08-30,2024-11-29,56.525083612040135,2024-08-19,2025-02-13,42,POC,True,
AIFC,AIFC_005,AI Financial,NASDAQ,2019-01-24,2019-04-24,2019-02-22,2019-05-23,13.867223483563812,2019-01-24,2019-06-27,37,POC,True,
AIFF,AIFF_006,Firefly Neuroscience,NASDAQ,2023-07-21,2023-10-19,2023-07-21,2023-10-19,10.11111111111111,2023-07-21,2023-10-19,1,POC,True,
AIFU,AIFU_007,智能未来,NASDAQ,2025-03-17,2025-06-16,2025-04-25,2025-07-24,73.79674796747967,2025-03-17,2025-08-18,44,POC,True,
AIMD,AIMD_008,Ainos,NASDAQ,2022-05-20,2022-08-18,2022-05-20,2022-08-18,18.537480063795854,2022-05-20,2022-09-27,3,POC,True,
AIRTP,AIRTP_009,AIR T FUNDING 8% ALPHA INCOME TR PFD SECS NEW(R/S),NASDAQ,2019-10-16,2020-01-14,2019-10-16,2020-01-14,10.138170731707318,2019-10-16,2020-01-14,1,POC,True,
AIXC,AIXC_010,AIxCrypto,NASDAQ,2018-02-22,2018-05-23,2018-03-02,2018-05-31,15.589861751152075,2018-02-22,2018-06-06,10,POC,True,
AIXC,AIXC_011,AIxCrypto,NASDAQ,2020-02-24,2020-05-26,2020-02-25,2020-05-26,37.048780487804876,2020-02-24,2020-08-20,53,POC,True,
AIXC,AIXC_012,AIxCrypto,NASDAQ,2024-08-07,2024-11-05,2024-10-24,2025-01-22,37.94542090656799,2024-08-07,2025-02-03,63,POC,True,
AIXI,AIXI_013,小i机器人,NASDAQ,2024-07-08,2024-10-07,2024-08-16,2024-11-14,21.271091563374654,2024-07-08,2024-11-20,16,POC,True,
AKA,AKA_014,a.k.a. Brands,NYSE,2023-07-05,2023-10-03,2023-09-26,2023-12-26,21.921238722262864,2023-07-05,2023-12-28,60,POC,True,
AKAN,AKAN_015,Akanda,NASDAQ,2024-02-26,2024-05-28,2024-04-18,2024-07-17,23.548352816153027,2024-02-26,2024-08-20,57,POC,True,
AKTX,AKTX_016,Akari Therapeutics,NASDAQ,2015-06-19,2015-09-17,2015-06-22,2015-09-21,50.63934426229508,2015-06-19,2015-11-16,42,POC,True,
AKTX,AKTX_017,Akari Therapeutics,NASDAQ,2023-05-19,2023-08-17,2023-06-28,2023-09-26,23.9384236453202,2023-05-19,2023-11-14,61,POC,True,
AKTX,AKTX_018,Akari Therapeutics,NASDAQ,2025-12-31,2026-03-31,2025-12-31,2026-03-31,16.82006920415225,2025-12-31,2026-03-31,1,POC,True,
ALBT,ALBT_019,Avalon GloboCare,NASDAQ,2024-07-29,2024-10-28,2024-10-17,2025-01-15,20.420454545454547,2024-07-29,2025-01-23,44,POC,True,
ALGS,ALGS_020,Aligos Therapeutics,NASDAQ,2024-05-20,2024-08-19,2024-08-15,2024-11-13,39.783170172880645,2024-05-20,2024-11-14,62,POC,True,
