ticker,error
BUDA,all free sources failed: yfinance: no price data returned; akshare: no price data returned
BULL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BURL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BUUU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BV,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BVFL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BVS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BWB,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BWGC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BWIN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BWIV,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BWMN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BXDC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BYND,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BYRN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BYSI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BZAI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BZUN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CABA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CABR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CADL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAIIU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CALQU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CALX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAPN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAPNR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAPNU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAPS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAQ,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAQU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAQUU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CARG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CARL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CARS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAST,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CAVA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
