ticker,episode_id,company_name,exchange,first_qualifying_start_date,first_qualifying_end_date,best_90d_start_date,best_90d_end_date,best_90d_return,episode_start_date,episode_end_date,num_qualifying_windows,data_quality,preliminary,notes
BBW,BBW_001,Build-A-Bear Workshop,NYSE,2018-12-13,2019-03-13,2018-12-13,2019-03-13,19.5,2018-12-13,2019-05-01,2,POC,True,
BBW,BBW_002,Build-A-Bear Workshop,NYSE,2020-12-04,2021-03-04,2020-12-04,2021-03-04,72.33333333333334,2020-12-04,2021-05-03,4,POC,True,
BBY,BBY_003,百思买,NYSE,2016-02-01,2016-05-02,2016-02-01,2016-05-02,27.6875,2016-02-01,2016-05-09,2,POC,True,
BCC,BCC_004,Boise Cascade,NYSE,2017-06-15,2017-09-13,2017-08-31,2017-11-29,847.0,2017-06-15,2017-12-05,13,POC,True,
BCC,BCC_005,Boise Cascade,NYSE,2019-07-01,2019-09-30,2019-07-02,2019-09-30,211.0,2019-07-01,2019-11-25,8,POC,True,
BCC,BCC_006,Boise Cascade,NYSE,2020-04-09,2020-07-08,2020-04-23,2020-07-22,118.2,2020-04-09,2020-08-12,8,POC,True,
BCSF,BCSF_007,Bain Capital Specialty Finance,NYSE,2020-05-01,2020-07-30,2020-05-01,2020-07-30,10.428571428571429,2020-05-01,2020-07-30,1,POC,True,
BCSF,BCSF_008,Bain Capital Specialty Finance,NYSE,2020-10-28,2021-01-26,2020-10-28,2021-01-26,34.75,2020-10-28,2021-01-28,3,POC,True,
BEBE,BEBE_009,TGE Value Creative Solutions,NYSE,2018-02-26,2018-05-29,2018-02-26,2018-05-29,65.0,2018-02-26,2018-09-04,7,POC,True,
BEBE,BEBE_010,TGE Value Creative Solutions,NYSE,2018-09-19,2018-12-18,2018-09-19,2018-12-18,15.0,2018-09-19,2018-12-18,1,POC,True,
BEBE,BEBE_011,TGE Value Creative Solutions,NYSE,2019-05-29,2019-08-27,2019-07-02,2019-09-30,37.0,2019-05-29,2019-10-01,5,POC,True,
BEP,BEP_012,Brookfield Renewable Partners LP,NYSE,2016-01-19,2016-04-18,2016-01-19,2016-04-18,24.92224938875306,2016-01-19,2016-04-18,1,POC,True,
BGSF,BGSF_013,BG Staffing,NYSE,2020-03-18,2020-06-16,2020-04-03,2020-07-02,29.71428571428571,2020-03-18,2020-07-02,2,POC,True,
BGSF,BGSF_014,BG Staffing,NYSE,2025-05-12,2025-08-11,2025-06-16,2025-09-15,193.0,2025-05-12,2025-09-15,6,POC,True,
BHP,BHP_015,必和必拓,NYSE,2016-10-14,2017-01-12,2016-10-17,2017-01-17,16.356164383561644,2016-10-14,2017-02-02,3,POC,True,
