ticker,error
BCACU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BCAR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BCARU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BCAX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BCG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BCHT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BCSS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BCYC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BDCI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BDCIU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BDMD,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BDTX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BE,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BEAG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BEAGR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BEAGU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BEAM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BEAT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BEEM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BEEP,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BESS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BETA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BETR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BFAM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BFLY,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BFRG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BGDE,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BGI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BGIN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BGL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BGM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BGMS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BH.A,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BHAV,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BHAVR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BHAVU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BHF,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BHST,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BHVN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
