ticker,error
BIDWU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BIII,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BIIIU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BILI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BILL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BIO.B,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BIOA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BIOX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BIRK,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BIXI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BIXIU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BJ,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BKHA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BKHAR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BKHAU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BKV,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLBD,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLCO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLD,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLDR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLEU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLEUR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLEUU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLIV,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLLN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLND,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLRK,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLRKU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLSH,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLTE,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLUW,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLUWU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLZE,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLZR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BLZRU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BMBL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BMEA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BMGL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BMHL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BMM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BMR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BMRN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BNBX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BNC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
