ticker,episode_id,company_name,exchange,first_qualifying_start_date,first_qualifying_end_date,best_90d_start_date,best_90d_end_date,best_90d_return,episode_start_date,episode_end_date,num_qualifying_windows,data_quality,preliminary,notes
AACG,AACG_001,ATA Creativity Global,NASDAQ,2020-11-06,2021-02-04,2020-11-06,2021-02-04,11.380952380952381,2020-11-06,2021-02-04,1,POC,True,
ABEO,ABEO_002,Abeona Therapeutics,NASDAQ,2022-04-04,2022-07-05,2022-05-18,2022-08-16,28.33579335793358,2022-04-04,2022-09-29,62,POC,True,
ABTC,ABTC_003,American Bitcoin,NASDAQ,2022-10-14,2023-01-12,2022-10-19,2023-01-17,17.43817787418655,2022-10-14,2023-02-06,15,POC,True,
ABTC,ABTC_004,American Bitcoin,NASDAQ,2023-11-13,2024-02-12,2023-11-14,2024-02-12,16.18487394957983,2023-11-13,2024-02-13,3,POC,True,
ABTS,ABTS_005,Abits,NASDAQ,2025-03-04,2025-06-02,2025-03-07,2025-06-05,15.341948310139166,2025-03-04,2025-06-05,3,POC,True,
ABVX,ABVX_006,Abivax S.A.,NASDAQ,2025-05-13,2025-08-11,2025-06-17,2025-09-15,13.16996699669967,2025-05-13,2025-10-06,29,POC,True,
ACB,ACB_007,极光大麻,NASDAQ,2020-02-28,2020-05-28,2020-03-18,2020-06-16,19.976,2020-02-28,2020-08-06,46,POC,True,
ACB,ACB_008,极光大麻,NASDAQ,2024-01-04,2024-04-03,2024-01-31,2024-04-30,23.2830833991055,2024-01-04,2024-05-16,31,POC,True,
ACET,ACET_009,艾切托,NASDAQ,2020-05-27,2020-09-16,2020-06-19,2020-09-17,118.77695167286244,2020-05-27,2020-11-23,63,POC,True,
ACET,ACET_010,艾切托,NASDAQ,2025-10-29,2026-01-27,2025-12-16,2026-03-16,14.419354838709676,2025-10-29,2026-03-30,35,POC,True,
ACFN,ACFN_011,Acorn Energy,NASDAQ,2023-06-12,2023-09-11,2023-06-12,2023-09-11,25.233333333333334,2023-06-12,2023-12-06,61,POC,True,
ACGN,ACGN_012,Aceragen,NASDAQ,2022-10-20,2023-01-18,2022-10-20,2023-01-18,21.742827059752567,2022-10-20,2023-03-23,43,POC,True,
ACHV,ACHV_013,Achieve Life,NASDAQ,2020-05-04,2020-08-03,2020-05-07,2020-08-05,26.92857142857143,2020-05-04,2020-10-28,62,POC,True,
ACON,ACON_014,Aclarion,NASDAQ,2024-11-01,2025-01-30,2025-01-29,2025-04-29,242.63636363636365,2024-11-01,2025-06-25,47,POC,True,
ACXP,ACXP_015,Acurx Pharmaceuticals,NASDAQ,2025-05-07,2025-08-05,2025-07-30,2025-10-28,18.10248635536689,2025-05-07,2025-11-03,46,POC,True,
ADIL,ADIL_016,Adial Pharmaceuticals,NASDAQ,2023-05-08,2023-08-07,2023-05-08,2023-08-07,18.4375,2023-05-08,2023-10-09,40,POC,True,
ADTX,ADTX_017,Aditxt,NASDAQ,2022-06-16,2022-09-14,2022-06-17,2022-09-15,73.74820143884892,2022-06-16,2022-12-07,48,POC,True,
ADTX,ADTX_018,Aditxt,NASDAQ,2023-05-22,2023-08-21,2023-06-02,2023-08-31,92.23614171893541,2023-05-22,2023-11-15,61,POC,True,
ADTX,ADTX_019,Aditxt,NASDAQ,2024-12-16,2025-03-17,2025-03-14,2025-06-12,71.13930348258707,2024-12-16,2025-06-12,60,POC,True,
ADTX,ADTX_020,Aditxt,NASDAQ,2025-10-30,2026-01-28,2025-10-31,2026-01-29,12.808080808080808,2025-10-30,2026-01-29,2,POC,True,
ADV,ADV_021,Advantage Solutions,NASDAQ,2025-12-29,2026-03-30,2025-12-30,2026-03-30,31.050833624810537,2025-12-29,2026-03-31,3,POC,True,
ADVB,ADVB_022,Advanced Biomed,NASDAQ,2025-12-04,2026-03-04,2025-12-31,2026-03-31,14.627141877998628,2025-12-04,2026-03-31,17,POC,True,
ADVM,ADVM_023,Adverum Biotechnologies(已退市),NASDAQ,2023-12-22,2024-03-21,2023-12-28,2024-03-27,18.391534391534393,2023-12-22,2024-04-24,22,POC,True,
ADXN,ADXN_024,Addex Therapeutics,NASDAQ,2023-07-24,2023-10-23,2023-10-20,2024-01-18,20.508633747349286,2023-07-24,2024-01-18,56,POC,True,
AEC,AEC_025,Anfield Energy,NASDAQ,2025-05-05,2025-09-04,2025-05-08,2025-09-04,131.14634146341464,2025-05-05,2025-10-29,61,POC,True,
AEHL,AEHL_026,羚羊控股,NASDAQ,2016-04-25,2016-07-25,2016-04-25,2016-07-25,14.142857142857144,2016-04-25,2016-08-18,14,POC,True,
AEHL,AEHL_027,羚羊控股,NASDAQ,2025-01-07,2025-04-07,2025-04-03,2025-07-02,57.31619047619048,2025-01-07,2025-07-02,60,POC,True,
AEI,AEI_028,Alset,NASDAQ,2022-09-29,2022-12-28,2022-11-03,2023-02-01,14.848670756646218,2022-09-29,2023-02-21,36,POC,True,
AEMD,AEMD_029,Aethlon Medical,NASDAQ,2015-01-14,2015-04-14,2015-02-25,2015-05-26,50.6109785202864,2015-01-14,2015-07-13,61,POC,True,
