ticker,error
CFND,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CGCT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CGCTU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CGEM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CGEN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CGON,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CGTH,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CGTL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CGTX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHAR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHARR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHARU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHEC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHECU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHEF,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHGG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHOW,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHPG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHPGR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHPGU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHRN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHRS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHWY,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CHYM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CIFR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CINT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CITR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CJMB,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CKHL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CLBK,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CLBR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CLBT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CLLS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
