ticker,error
CLNE,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CLOV,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CLPT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CLSK,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CLST,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CLYM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CMDB,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CMII,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CMIIU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CMPR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CMPS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CMPX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CMRC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNAQU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNCK,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNDT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNH,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNTA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNTB,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNTN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNTX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNTY,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
CNXU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
COAG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
COC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
COCH,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
COCO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
COIN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
COLA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
COLAR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
COLAU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
