ticker,error
BOBS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BOC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BODI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BOF,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BOLD,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BOT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BOW,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BOWN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BOWNR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BOX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BPAC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BPACR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BPACU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRACR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRACU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRAG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRBR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRCB,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRCC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BREZU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRFH,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRK.A,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRKHU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRKRP,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRLS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRNS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BROS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRTH,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRTX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRUN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BRZE,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BSAA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BSAAR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BSAAU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BSBK,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTBD,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTBT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTCT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTDR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTGO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTMD,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTOC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTQ,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTRU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTRY,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTSG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BTTC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
