ticker,episode_id,company_name,exchange,first_qualifying_start_date,first_qualifying_end_date,best_90d_start_date,best_90d_end_date,best_90d_return,episode_start_date,episode_end_date,num_qualifying_windows,data_quality,preliminary,notes
CBAT,CBAT_001,中比能源,NASDAQ,2020-08-17,2020-11-16,2020-08-18,2020-11-16,15.617647058823529,2020-08-17,2020-11-30,9,POC,True,
CBIO,CBIO_002,Crescent Biopharma,NASDAQ,2017-08-21,2017-11-20,2017-08-23,2017-11-21,33.44440263377583,2017-08-21,2018-02-14,27,POC,True,
CBIO,CBIO_003,Crescent Biopharma,NASDAQ,2020-03-18,2020-06-16,2020-03-18,2020-06-16,10.924996154166026,2020-03-18,2020-06-16,1,POC,True,
CC,CC_004,The Chemours,NYSE,2016-06-30,2016-09-28,2016-07-11,2016-10-10,34.20224719101123,2016-06-30,2016-10-11,4,POC,True,
CCAP,CCAP_005,Crescent Capital BDC,NASDAQ,2020-03-16,2020-06-15,2020-03-16,2020-06-15,195.0,2020-03-16,2020-08-20,7,POC,True,
CCOI,CCOI_006,Cogent通信,NASDAQ,2015-08-24,2015-11-23,2015-09-14,2015-12-14,1108.0,2015-08-24,2015-12-21,7,POC,True,
CDIO,CDIO_007,Cardio Diagnostics,NASDAQ,2023-10-12,2024-01-10,2023-10-12,2024-01-10,10.307692307692308,2023-10-12,2024-01-10,1,POC,True,
CDMOP,CDMOP_008,Avid Bioservices,NASDAQ,2016-05-11,2016-08-09,2016-05-24,2016-08-22,138.74933333333334,2016-05-11,2016-08-30,6,POC,True,
CENT,CENT_009,Central Garden & Pet,NASDAQ,2016-11-17,2017-02-15,2016-11-21,2017-02-21,158.75,2016-11-17,2017-02-21,4,POC,True,
CENT,CENT_010,Central Garden & Pet,NASDAQ,2017-05-18,2017-08-16,2017-05-18,2017-08-16,14.700000000000001,2017-05-18,2017-08-16,1,POC,True,
CENT,CENT_011,Central Garden & Pet,NASDAQ,2019-09-30,2019-12-30,2019-09-30,2019-12-30,64.33333333333333,2019-09-30,2020-01-22,5,POC,True,
CENT,CENT_012,Central Garden & Pet,NASDAQ,2020-02-18,2020-05-18,2020-03-18,2020-06-16,198.66666666666669,2020-02-18,2020-07-06,4,POC,True,
CENT,CENT_013,Central Garden & Pet,NASDAQ,2025-10-14,2026-01-12,2025-10-14,2026-01-12,10.678571428571427,2025-10-14,2026-01-13,2,POC,True,
